product_handle,product_url,reviewer_name,reviewer_email,rating,title,body,review_date
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Brilliant product and service,"Firstly this charcoal is the best I've used on my smoker — nice big bits, not grainy and dusty. Secondly the lovely customer service experience was a complete pleasure. I will certainly buy from this company again. Isn't it nice when you're an appreciated customer. Thanks team! X",20/05/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Best charcoal I've ever bought,"Great vendor to buy from — the charcoal supplied is top quality. Forget garage/supermarket charcoal, this is the stuff you should buy from a proper supplier! I've used it in my kamado and BBQ and it burns for longer with excellent heat! Definitely getting more.",24/05/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Extreme heat and long cooking time,"Excellent — delivery fast, product is superb, extreme heat and long cooking time. Will always buy your product and will recommend to family and friends. P.S. thanks for the sweets!",20/07/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,3rd order and still the most consistent,"Brilliant service! Ordered Monday, delivered Wednesday, well packaged and 1st class product. This is my 3rd order from here. I have had charcoal from other suppliers in the past and understand that views are subjective, but have found this to be the most consistent.",18/06/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Quality charcoal with a lovely surprise,"Quality charcoal, have used many times and will use again. Even received a box of matches, and another small gift (no spoilers) with the order.",18/07/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Excellent service with thoughtful extras,"Excellent service, quick delivery and well thought out little extras — the fact sheet for starting a fire, the matches and the Haribo. Looking forward to firing up the BBQ. Thank you, Sammy.",22/05/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Perfect for Kamado cooking,Great quality charcoal. The seller clearly takes pride in their products. Burns very well and almost certainly fine to cook low and slow on all day in a Kamado without refueling. Will be buying again.,04/04/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Works brilliantly in my Big Green Egg,"Arrived sooner than expected. They were in a sturdy cardboard box, which helps stop the charcoal getting bashed into small lumps. Came with instructions and disposable gloves — great product and a good price, works well in my Big Green Egg.",21/04/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,No smoke — just heat,I've had plenty of restaurant grade charcoals over the years but this is brilliant. No smoke but plenty of heat. I'll be ordering again and again.,22/06/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Went above and beyond,"Perfect seller. All items sent in time and with a personal note, instructions how to best light the coal, some treats and even gloves so I don't get dirty carrying the charcoal. A very nice gesture that really makes a difference. I will definitely buy again.",04/08/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Impressed with the quality,"This is my second order — I was so impressed with the quality of the first. The lumps are big right down to the bottom of the bag, it lights well, burns well and stays hot. Fast order turnaround and excellent delivery. A very good supplier.",20/05/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Restaurant grade — and it shows,Bought the restaurant grade charcoal for my barbecue and I'm very pleased. The chunk size of the lump wood is excellent — just as described!,17/03/2025
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Great lumpwood — lasts well,"Great lumpwood charcoal, lasts well with good size pieces. Will purchase again.",21/07/2024
the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,https://www.staffordshirewoodfuels.co.uk/products/the-charcoal-chefs-24kg-of-premium-grade-lumpwood-restaurant-charcoal,Amazon Customer,,5,Arrived next day with a gift,"Quick delivery, good kindling and the Haribo was a pleasant surprise treat.",17/12/2024
